Trinity_ID	380822	380823	380824	380825	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN993_c0_g2_i1	0	46	0	112	sp	Q9XHS0	RS12_HORVU	49.6	137	62	1	77	466	1	137	4.8e-31	136	RS12_HORVU	reviewed	40S ribosomal protein S12	RPS12	Hordeum vulgare (Barley)	143	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
TRINITY_DN4645_c1_g1_i6	0	54	0	105	sp	B2X050	MNR1_CAPAN	27.6	308	167	11	82	864	9	307	1.3e-16	89	MNR1_CAPAN	reviewed	(+)-neomenthol dehydrogenase (EC 1.1.1.208) (Menthone:neomenthol reductase 1) (CaMNR1)	MNR1	Capsicum annuum (Capsicum pepper)	314	defense response [GO:0006952]		(+)-neomenthol dehydrogenase activity [GO:0047501]; defense response [GO:0006952]	(+)-neomenthol dehydrogenase activity [GO:0047501]	GO:0006952; GO:0047501
TRINITY_DN8884_c0_g1_i1	0	48	0	98	sp	F4IMH3	NOC4_ARATH	25.1	514	292	19	294	1604	57	554	7.2e-21	104	NOC4_ARATH	reviewed	Protein NUCLEOLAR COMPLEX ASSOCIATED 4 (AtNoc4) (Protein EMBRYO DEFECTIVE 2762)	NOC4 EMB2762 At2g17250 T23A1.11	Arabidopsis thaliana (Mouse-ear cress)	577	embryo development ending in seed dormancy [GO:0009793]; rRNA processing [GO:0006364]	integral component of membrane [GO:0016021]; Noc4p-Nop14p complex [GO:0030692]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	integral component of membrane [GO:0016021]; Noc4p-Nop14p complex [GO:0030692]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; embryo development ending in seed dormancy [GO:0009793]; rRNA processing [GO:0006364]		GO:0005654; GO:0005730; GO:0006364; GO:0009793; GO:0016021; GO:0030692; GO:0031965; GO:0032040
TRINITY_DN4232_c0_g1_i14	0	106	0	181	sp	P0DJ52	RL8_TETTS	72.8	136	37	0	7	414	117	252	1.1e-53	210.7	RL8_TETTS	reviewed	60S ribosomal protein L8	RPL8 RPL2 TTHERM_00716240	Tetrahymena thermophila (strain SB210)	264	translation [GO:0006412]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	cytoplasm [GO:0005737]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:0019843
TRINITY_DN7130_c0_g1_i1	0	25	0	197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1447_c0_g1_i38	0	37	0	243	sp	P33188	TBB1_PARTE	93.6	437	28	0	61	1371	1	437	6.7e-249	861.3	TBB1_PARTE	reviewed	Tubulin beta chain (Beta-tubulin)	bPT2 GSPATT00021361001; bPT3 GSPATT00036831001	Paramecium tetraurelia	442	microtubule-based process [GO:0007017]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
TRINITY_DN100883_c0_g1_i1	0	41	0	101	sp	Q9UHR6	ZNHI2_HUMAN	57.9	38	15	1	64	177	18	54	6.5e-07	56.6	ZNHI2_HUMAN	reviewed	Zinc finger HIT domain-containing protein 2 (Protein FON)	ZNHIT2 C11orf5	Homo sapiens (Human)	403			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
TRINITY_DN2779_c0_g1_i9	82	490	48	276	sp	Q9QX67	DAP1_RAT	35	117	55	4	105	437	1	102	3.9e-06	55.8	DAP1_RAT	reviewed	Death-associated protein 1 (DAP-1) (Rap7a)	Dap Rap7a	Rattus norvegicus (Rat)	102	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of transcription, DNA-templated [GO:0045892]		death domain binding [GO:0070513]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; negative regulation of autophagy [GO:0010507]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of transcription, DNA-templated [GO:0045892]	death domain binding [GO:0070513]	GO:0006914; GO:0006915; GO:0006919; GO:0010507; GO:0032088; GO:0034198; GO:0045892; GO:0070513; GO:0097190
TRINITY_DN3844_c0_g1_i13	99	0	163	0	sp	Q95TJ9	CYCG_DROME	34.9	327	187	6	654	1604	239	549	1.1e-40	170.6	CYCG_DROME	reviewed	Cyclin G	CycG CG11525	Drosophila melanogaster (Fruit fly)	566	cell division [GO:0051301]; double-strand break repair [GO:0006302]; epithelium development [GO:0060429]; female meiotic nuclear division [GO:0007143]; meiotic DNA repair synthesis [GO:0000711]; mitotic cell cycle phase transition [GO:0044772]; multicellular organism development [GO:0007275]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of growth [GO:0045927]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; DNA binding [GO:0003677]; protein phosphatase inhibitor activity [GO:0004864]; cell division [GO:0051301]; double-strand break repair [GO:0006302]; epithelium development [GO:0060429]; female meiotic nuclear division [GO:0007143]; meiotic DNA repair synthesis [GO:0000711]; mitotic cell cycle phase transition [GO:0044772]; multicellular organism development [GO:0007275]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of growth [GO:0045927]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of protein kinase B signaling [GO:0051897]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; DNA binding [GO:0003677]; protein phosphatase inhibitor activity [GO:0004864]	GO:0000079; GO:0000307; GO:0000711; GO:0003677; GO:0004864; GO:0005634; GO:0005700; GO:0005737; GO:0006302; GO:0007143; GO:0007275; GO:0016538; GO:0044772; GO:0045746; GO:0045927; GO:0046628; GO:0051301; GO:0051897; GO:0060429; GO:2000134
TRINITY_DN1095_c0_g1_i4	0	58	0	63	sp	Q2KIA4	SCD5_BOVIN	47.8	253	129	2	462	1217	79	329	3.9e-68	260.8	SCD5_BOVIN	reviewed	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (Stearoyl-CoA 9-desaturase)	SCD5	Bos taurus (Bovine)	335	unsaturated fatty acid biosynthetic process [GO:0006636]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; stearoyl-CoA 9-desaturase activity [GO:0004768]; unsaturated fatty acid biosynthetic process [GO:0006636]	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; stearoyl-CoA 9-desaturase activity [GO:0004768]	GO:0004768; GO:0005506; GO:0005789; GO:0006636; GO:0016021; GO:0016491
TRINITY_DN16395_c0_g1_i1	0	70	0	119	sp	Q5A761	CCR4_CANAL	25	376	249	11	635	1735	429	780	3.9e-20	101.3	CCR4_CANAL	reviewed	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	CCR4 CAALFM_C108220WA Ca41C10.13c CaO19.12567 CaO19.5101	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	787	cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; fungal-type cell wall biogenesis [GO:0009272]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; pathogenesis [GO:0009405]; phospholipid homeostasis [GO:0055091]	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; 3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]; cellular response to starvation [GO:0009267]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to biotic stimulus [GO:0036180]; filamentous growth of a population of unicellular organisms in response to starvation [GO:0036170]; fungal-type cell wall biogenesis [GO:0009272]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; pathogenesis [GO:0009405]; phospholipid homeostasis [GO:0055091]	3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]	GO:0000175; GO:0000289; GO:0003723; GO:0004535; GO:0005634; GO:0005737; GO:0009267; GO:0009272; GO:0009405; GO:0030014; GO:0030447; GO:0036170; GO:0036180; GO:0046872; GO:0055091
TRINITY_DN682_c0_g1_i5	0	116	0	90	sp	Q3V009	TMED1_MOUSE	35.8	193	121	2	132	710	33	222	1.5e-25	119.4	TMED1_MOUSE	reviewed	Transmembrane emp24 domain-containing protein 1 (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) (p24 family protein gamma-1) (p24gamma1)	Tmed1 Il1rl1l	Mus musculus (Mouse)	227	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]		GO:0005783; GO:0005789; GO:0005793; GO:0005794; GO:0005886; GO:0006886; GO:0006888; GO:0007030; GO:0016021; GO:0030134; GO:0033116
TRINITY_DN1765_c0_g1_i2	0	143	0	177	sp	P27484	GRP2_NICSY	55.9	59	25	1	1	177	20	77	1.1e-10	69.3	GRP2_NICSY	reviewed	Glycine-rich protein 2	GRP-2	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	214			RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0003723; GO:0008270
TRINITY_DN782_c0_g1_i11	0	48	0	68	sp	Q9XGL4	RL31_CYAPA	55.5	119	52	1	48	401	1	119	5.8e-31	136	RL31_CYAPA	reviewed	60S ribosomal protein L31	RPL31	Cyanophora paradoxa	119	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
TRINITY_DN793_c0_g1_i58	75	0	136	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN109346_c0_g1_i1	0	62	0	120	sp	P34091	RL6_MESCR	48.8	164	78	3	94	570	72	234	6.7e-31	135.6	RL6_MESCR	reviewed	60S ribosomal protein L6 (YL16-like)	RPL6	Mesembryanthemum crystallinum (Common ice plant) (Cryophytum crystallinum)	234	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
