Trinity_ID	Library_178	Library_359	Library_463	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN9169_c0_g1_i7	334	279	0	3	sp	Q60452	ERCC2_CRIGR	63.6	758	273	1	195	2459	1	758	1.30E-298	1026.9	ERCC2_CRIGR	reviewed	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (Xeroderma pigmentosum group D-complementing protein)	ERCC2 XPD	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	760	"aging [GO:0007568]; apoptotic process [GO:0006915]; bone mineralization [GO:0030282]; cell population proliferation [GO:0008283]; central nervous system myelin formation [GO:0032289]; chromosome segregation [GO:0007059]; embryonic cleavage [GO:0040016]; erythrocyte maturation [GO:0043249]; extracellular matrix organization [GO:0030198]; hair cell differentiation [GO:0035315]; hair follicle maturation [GO:0048820]; hematopoietic stem cell differentiation [GO:0060218]; in utero embryonic development [GO:0001701]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; multicellular organism growth [GO:0035264]; nucleotide-excision repair, DNA incision [GO:0033683]; positive regulation of DNA binding [GO:0043388]; post-embryonic development [GO:0009791]; regulation of mitotic cell cycle phase transition [GO:1901990]; response to oxidative stress [GO:0006979]; spinal cord development [GO:0021510]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase I promoter [GO:0006362]; UV protection [GO:0009650]"	CAK-ERCC2 complex [GO:0070516]; cytoplasm [GO:0005737]; MMXD complex [GO:0071817]; nucleus [GO:0005634]; spindle [GO:0005819]; transcription factor TFIIH holo complex [GO:0005675]	"CAK-ERCC2 complex [GO:0070516]; cytoplasm [GO:0005737]; MMXD complex [GO:0071817]; nucleus [GO:0005634]; spindle [GO:0005819]; transcription factor TFIIH holo complex [GO:0005675]; 4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; aging [GO:0007568]; apoptotic process [GO:0006915]; bone mineralization [GO:0030282]; cell population proliferation [GO:0008283]; central nervous system myelin formation [GO:0032289]; chromosome segregation [GO:0007059]; embryonic cleavage [GO:0040016]; erythrocyte maturation [GO:0043249]; extracellular matrix organization [GO:0030198]; hair cell differentiation [GO:0035315]; hair follicle maturation [GO:0048820]; hematopoietic stem cell differentiation [GO:0060218]; in utero embryonic development [GO:0001701]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; multicellular organism growth [GO:0035264]; nucleotide-excision repair, DNA incision [GO:0033683]; positive regulation of DNA binding [GO:0043388]; post-embryonic development [GO:0009791]; regulation of mitotic cell cycle phase transition [GO:1901990]; response to oxidative stress [GO:0006979]; spinal cord development [GO:0021510]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase I promoter [GO:0006362]; transcription-coupled nucleotide-excision repair [GO:0006283]; UV protection [GO:0009650]"	"4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]"	GO:0000462; GO:0001701; GO:0003677; GO:0005524; GO:0005634; GO:0005675; GO:0005737; GO:0005819; GO:0006283; GO:0006362; GO:0006366; GO:0006915; GO:0006979; GO:0007059; GO:0007568; GO:0008022; GO:0008283; GO:0009650; GO:0009791; GO:0021510; GO:0030198; GO:0030282; GO:0032289; GO:0033683; GO:0035264; GO:0035315; GO:0040016; GO:0043139; GO:0043249; GO:0043388; GO:0046872; GO:0047485; GO:0048820; GO:0051539; GO:0060218; GO:0070516; GO:0071817; GO:1901990
TRINITY_DN27977_c0_g1_i5	113	65	2	3	sp	Q9R1A0	CCNH_RAT	44.8	181	91	2	310	843	1	175	8.80E-33	143.3	CCNH_RAT	reviewed	Cyclin-H	Ccnh	Rattus norvegicus (Rat)	323	cell cycle [GO:0007049]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	cyclin-dependent protein kinase activating kinase holoenzyme complex [GO:0019907]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]	cyclin-dependent protein kinase activating kinase holoenzyme complex [GO:0019907]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; kinase activity [GO:0016301]; cell cycle [GO:0007049]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; kinase activity [GO:0016301]	GO:0000079; GO:0005634; GO:0005675; GO:0006357; GO:0006366; GO:0007049; GO:0016301; GO:0016538; GO:0019907; GO:0042025; GO:0045944; GO:0050821; GO:0070816; GO:0070985
TRINITY_DN7938_c0_g1_i4	64	24	1	3	sp	Q5R587	RPAB1_PONAB	84.2	209	33	0	307	933	1	209	4.00E-99	363.6	RPAB1_PONAB	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog)"	POLR2E	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	210	transcription by RNA polymerase II [GO:0006366]	"host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]"	"host cell nucleus [GO:0042025]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription by RNA polymerase II [GO:0006366]"	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0006366; GO:0042025
TRINITY_DN4186_c0_g1_i15	763	607	2	3	sp	Q05913	T2FA_DROME	64.4	180	61	2	266	805	37	213	3.10E-63	244.6	T2FA_DROME	reviewed	General transcription factor IIF subunit 1 (Transcription factor 5 large chain) (TF5A) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha)	TfIIFalpha CG10281	Drosophila melanogaster (Fruit fly)	577	positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]	nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]; DNA binding [GO:0003677]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TFIIF-class transcription factor complex binding [GO:0001096]; transferase activity [GO:0016740]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	DNA binding [GO:0003677]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TFIIF-class transcription factor complex binding [GO:0001096]; transferase activity [GO:0016740]	GO:0001096; GO:0003677; GO:0005634; GO:0005674; GO:0006366; GO:0006367; GO:0006368; GO:0016251; GO:0016740; GO:0032968; GO:0045944
TRINITY_DN1688_c1_g1_i2	218	47	107	3	sp	O15514	RPB4_HUMAN	73	141	36	1	378	800	4	142	6.40E-47	189.9	RPB4_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (DNA-directed RNA polymerase II subunit D) (RNA polymerase II 16 kDa subunit) (RPB16)	POLR2D	Homo sapiens (Human)	142	"7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA export from nucleus in response to heat stress [GO:0031990]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral transcription [GO:0050434]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; transcription, DNA-templated [GO:0006351]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; translation initiation factor binding [GO:0031369]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA export from nucleus in response to heat stress [GO:0031990]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral transcription [GO:0050434]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription, DNA-templated [GO:0006351]; transcription-coupled nucleotide-excision repair [GO:0006283]"	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; translation initiation factor binding [GO:0031369]	GO:0000166; GO:0000288; GO:0000398; GO:0000932; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005829; GO:0006283; GO:0006351; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0008543; GO:0016070; GO:0016607; GO:0031369; GO:0031990; GO:0034402; GO:0035019; GO:0042795; GO:0045948; GO:0050434; GO:0060964
TRINITY_DN8425_c2_g1_i1	4869	3829	0	3	sp	Q17QQ4	TAF9_BOVIN	51.5	163	70	4	144	632	9	162	3.80E-38	160.2	TAF9_BOVIN	reviewed	Transcription initiation factor TFIID subunit 9	TAF9	Bos taurus (Bovine)	264	"box C/D snoRNP assembly [GO:0000492]; DNA-templated transcription, initiation [GO:0006352]; histone H3 acetylation [GO:0043966]; negative regulation of apoptotic process [GO:0043066]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; positive regulation of cell growth [GO:0030307]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; response to interleukin-1 [GO:0070555]; transcription by RNA polymerase II [GO:0006366]"	MLL1 complex [GO:0071339]; PCAF complex [GO:0000125]; pre-snoRNP complex [GO:0070761]; SAGA complex [GO:0000124]; STAGA complex [GO:0030914]; transcription factor TFIID complex [GO:0005669]; transcription factor TFTC complex [GO:0033276]	"MLL1 complex [GO:0071339]; PCAF complex [GO:0000125]; pre-snoRNP complex [GO:0070761]; SAGA complex [GO:0000124]; STAGA complex [GO:0030914]; transcription factor TFIID complex [GO:0005669]; transcription factor TFTC complex [GO:0033276]; activating transcription factor binding [GO:0033613]; ATPase binding [GO:0051117]; C2H2 zinc finger domain binding [GO:0070742]; histone acetyltransferase activity [GO:0004402]; p53 binding [GO:0002039]; protein heterodimerization activity [GO:0046982]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; box C/D snoRNP assembly [GO:0000492]; DNA-templated transcription, initiation [GO:0006352]; histone H3 acetylation [GO:0043966]; negative regulation of apoptotic process [GO:0043066]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; positive regulation of cell growth [GO:0030307]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; response to interleukin-1 [GO:0070555]; transcription by RNA polymerase II [GO:0006366]"	activating transcription factor binding [GO:0033613]; ATPase binding [GO:0051117]; C2H2 zinc finger domain binding [GO:0070742]; histone acetyltransferase activity [GO:0004402]; p53 binding [GO:0002039]; protein heterodimerization activity [GO:0046982]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000124; GO:0000125; GO:0000492; GO:0000976; GO:0002039; GO:0003713; GO:0004402; GO:0005669; GO:0006352; GO:0006366; GO:0008134; GO:0030307; GO:0030914; GO:0032435; GO:0033276; GO:0033613; GO:0043066; GO:0043966; GO:0045944; GO:0046982; GO:0050821; GO:0051117; GO:0060760; GO:0070555; GO:0070742; GO:0070761; GO:0071339
TRINITY_DN23424_c0_g2_i5	508	345	1	3	sp	P53361	TBP_SPOFR	95.2	186	9	0	510	1067	122	307	8.60E-97	355.9	TBP_SPOFR	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	Tbp	Spodoptera frugiperda (Fall armyworm)	307	"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]"	nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]	"nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]; DNA binding [GO:0003677]; RNA polymerase III general transcription initiation factor activity [GO:0000995]; DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]"	DNA binding [GO:0003677]; RNA polymerase III general transcription initiation factor activity [GO:0000995]	GO:0000995; GO:0003677; GO:0005634; GO:0005669; GO:0006352; GO:0006366; GO:0006383
TRINITY_DN941_c2_g1_i1	250	95	0	3	sp	Q7KZ85	SPT6H_HUMAN	54.2	312	122	4	617	1525	185	484	3.50E-60	234.2	SPT6H_HUMAN	reviewed	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein)	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	1726	"blastocyst formation [GO:0001825]; chromatin maintenance [GO:0070827]; chromatin remodeling [GO:0006338]; mRNA processing [GO:0006397]; mRNA transcription by RNA polymerase II [GO:0042789]; mRNA transport [GO:0051028]; negative regulation of histone H3-K27 methylation [GO:0061086]; nucleosome organization [GO:0034728]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; regulation of isotype switching [GO:0045191]; regulation of mRNA export from nucleus [GO:0010793]; regulation of mRNA processing [GO:0050684]; regulation of muscle cell differentiation [GO:0051147]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; viral process [GO:0016032]"	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptionally active chromatin [GO:0035327]; transcription elongation factor complex [GO:0008023]	"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription elongation factor complex [GO:0008023]; transcriptionally active chromatin [GO:0035327]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; RNA binding [GO:0003723]; blastocyst formation [GO:0001825]; chromatin maintenance [GO:0070827]; chromatin remodeling [GO:0006338]; mRNA processing [GO:0006397]; mRNA transcription by RNA polymerase II [GO:0042789]; mRNA transport [GO:0051028]; negative regulation of histone H3-K27 methylation [GO:0061086]; nucleosome organization [GO:0034728]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; regulation of isotype switching [GO:0045191]; regulation of mRNA export from nucleus [GO:0010793]; regulation of mRNA processing [GO:0050684]; regulation of muscle cell differentiation [GO:0051147]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; viral process [GO:0016032]"	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; RNA binding [GO:0003723]	GO:0001825; GO:0003677; GO:0003700; GO:0003723; GO:0005634; GO:0005654; GO:0006338; GO:0006355; GO:0006366; GO:0006368; GO:0006397; GO:0008023; GO:0008380; GO:0010793; GO:0016032; GO:0031491; GO:0032968; GO:0034728; GO:0035327; GO:0042393; GO:0042789; GO:0045191; GO:0050684; GO:0051028; GO:0051147; GO:0061086; GO:0070827
TRINITY_DN4186_c0_g1_i7	57	19	0	3	sp	Q05913	T2FA_DROME	67.7	124	38	1	2	373	92	213	2.20E-42	175.6	T2FA_DROME	reviewed	General transcription factor IIF subunit 1 (Transcription factor 5 large chain) (TF5A) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha)	TfIIFalpha CG10281	Drosophila melanogaster (Fruit fly)	577	positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]	nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]; DNA binding [GO:0003677]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TFIIF-class transcription factor complex binding [GO:0001096]; transferase activity [GO:0016740]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]	DNA binding [GO:0003677]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TFIIF-class transcription factor complex binding [GO:0001096]; transferase activity [GO:0016740]	GO:0001096; GO:0003677; GO:0005634; GO:0005674; GO:0006366; GO:0006367; GO:0006368; GO:0016251; GO:0016740; GO:0032968; GO:0045944
TRINITY_DN10286_c0_g1_i2	15708	9271	9	3	sp	Q3SZZ2	XBP1_BOVIN	34.4	218	133	4	422	1066	48	258	2.40E-06	55.5	XBP1_BOVIN	reviewed	"X-box-binding protein 1 (XBP-1) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]"	XBP1	Bos taurus (Bovine)	261	adipose tissue development [GO:0060612]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; cellular response to amino acid stimulus [GO:0071230]; cellular response to fluid shear stress [GO:0071498]; cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-4 [GO:0071353]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to peptide hormone stimulus [GO:0071375]; cellular triglyceride homeostasis [GO:0035356]; cholesterol homeostasis [GO:0042632]; endothelial cell proliferation [GO:0001935]; fatty acid homeostasis [GO:0055089]; liver development [GO:0001889]; muscle organ development [GO:0007517]; negative regulation of apoptotic process [GO:0043066]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of lactation [GO:1903489]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of plasma cell differentiation [GO:1900100]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; protein destabilization [GO:0031648]; regulation of autophagy [GO:0010506]; response to endoplasmic reticulum stress [GO:0034976]; response to insulin-like growth factor stimulus [GO:1990418]; sterol homeostasis [GO:0055092]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleus [GO:0005634]	"cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleus [GO:0005634]; chromatin DNA binding [GO:0031490]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; adipose tissue development [GO:0060612]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; cellular response to amino acid stimulus [GO:0071230]; cellular response to fluid shear stress [GO:0071498]; cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-4 [GO:0071353]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to peptide hormone stimulus [GO:0071375]; cellular triglyceride homeostasis [GO:0035356]; cholesterol homeostasis [GO:0042632]; endothelial cell proliferation [GO:0001935]; fatty acid homeostasis [GO:0055089]; liver development [GO:0001889]; muscle organ development [GO:0007517]; negative regulation of apoptotic process [GO:0043066]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of lactation [GO:1903489]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of plasma cell differentiation [GO:1900100]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; protein destabilization [GO:0031648]; regulation of autophagy [GO:0010506]; response to endoplasmic reticulum stress [GO:0034976]; response to insulin-like growth factor stimulus [GO:1990418]; sterol homeostasis [GO:0055092]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]"	"chromatin DNA binding [GO:0031490]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]"	GO:0000977; GO:0000978; GO:0000981; GO:0000987; GO:0001525; GO:0001889; GO:0001935; GO:0002639; GO:0003700; GO:0005634; GO:0005737; GO:0005783; GO:0006366; GO:0006511; GO:0006915; GO:0006990; GO:0007517; GO:0010506; GO:0030154; GO:0030176; GO:0031490; GO:0031648; GO:0034976; GO:0035356; GO:0042149; GO:0042632; GO:0043066; GO:0045348; GO:0045579; GO:0045582; GO:0045600; GO:0045944; GO:0046982; GO:0055089; GO:0055092; GO:0060612; GO:0071222; GO:0071230; GO:0071353; GO:0071375; GO:0071498; GO:0071499; GO:1900100; GO:1900103; GO:1903489; GO:1990418; GO:2000347
