Trinity_ID	178	359	463	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN14294_c0_g1_i9	24	7	0	2	sp	Q9FR62	P23A_BRANA	43.6	110	56	4	37	348	5	114	1.5e-13	78.2	P23A_BRANA	reviewed	Co-chaperone protein p23-1 (Bnp23-1)	P23-1 P23	Brassica napus (Rape)	178	chaperone cofactor-dependent protein refolding [GO:0051085]; response to heat [GO:0009408]	chaperone complex [GO:0101031]	chaperone complex [GO:0101031]; chaperone binding [GO:0051087]; Hsp90 protein binding [GO:0051879]; chaperone cofactor-dependent protein refolding [GO:0051085]; response to heat [GO:0009408]	chaperone binding [GO:0051087]; Hsp90 protein binding [GO:0051879]	GO:0009408; GO:0051085; GO:0051087; GO:0051879; GO:0101031
TRINITY_DN1988_c1_g1_i12	0	4	0	1	sp	P22953	MD37E_ARATH	58.3	551	219	5	532	2160	8	555	1.7e-171	604.7	HS701_ARATH	reviewed	Heat shock 70 kDa protein 1 (Heat shock cognate 70 kDa protein 1) (Heat shock cognate protein 70-1) (AtHsc70-1) (Heat shock protein 70-1) (AtHsp70-1) (Protein EARLY-RESPONSIVE TO DEHYDRATION 2)	HSP70-1 ERD2 HSC70-1 MED37_4 MED37E At5g02500 T22P11.90	Arabidopsis thaliana (Mouse-ear cress)	651	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; defense response to other organism [GO:0098542]; negative regulation of seed germination [GO:0010187]; protein refolding [GO:0042026]; response to cadmium ion [GO:0046686]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; stomatal closure [GO:0090332]	apoplast [GO:0048046]; cell wall [GO:0005618]; chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]	apoplast [GO:0048046]; cell wall [GO:0005618]; chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protease binding [GO:0002020]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; defense response to other organism [GO:0098542]; negative regulation of seed germination [GO:0010187]; protein refolding [GO:0042026]; response to cadmium ion [GO:0046686]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; stomatal closure [GO:0090332]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protease binding [GO:0002020]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	GO:0002020; GO:0005524; GO:0005618; GO:0005634; GO:0005730; GO:0005737; GO:0005774; GO:0005794; GO:0005829; GO:0005886; GO:0006986; GO:0009408; GO:0009409; GO:0009506; GO:0009507; GO:0009615; GO:0010187; GO:0016887; GO:0022626; GO:0031072; GO:0034620; GO:0042026; GO:0042742; GO:0044183; GO:0046686; GO:0048046; GO:0050832; GO:0051082; GO:0051085; GO:0051787; GO:0090332; GO:0098542
TRINITY_DN2876_c0_g1_i4	13	53	0	1	sp	Q9CYA6	ZCHC8_MOUSE	39.7	189	104	4	696	1238	222	408	2e-32	142.5	ZCHC8_MOUSE	reviewed	Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8)	Zcchc8	Mus musculus (Mouse)	709	mRNA processing [GO:0006397]; ncRNA processing [GO:0034470]; RNA splicing [GO:0008380]	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TRAMP complex [GO:0031499]	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TRAMP complex [GO:0031499]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; mRNA processing [GO:0006397]; ncRNA processing [GO:0034470]; RNA splicing [GO:0008380]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0005634; GO:0005654; GO:0006397; GO:0008270; GO:0008380; GO:0016604; GO:0031499; GO:0034470; GO:0071013
TRINITY_DN8328_c0_g1_i1	8	1	0	2	sp	Q8GAA6	TGT_SYNE7	30.2	232	148	5	418	1095	151	374	1.3e-20	102.4	TGT_SYNE7	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt Synpcc7942_0455 sel0015	Synechococcus elongatus (strain PCC 7942 / FACHB-805) (Anacystis nidulans R2)	384	queuosine biosynthetic process [GO:0008616]; tRNA-guanine transglycosylation [GO:0101030]		metal ion binding [GO:0046872]; queuine tRNA-ribosyltransferase activity [GO:0008479]; queuosine biosynthetic process [GO:0008616]; tRNA-guanine transglycosylation [GO:0101030]	metal ion binding [GO:0046872]; queuine tRNA-ribosyltransferase activity [GO:0008479]	GO:0008479; GO:0008616; GO:0046872; GO:0101030
TRINITY_DN2510_c0_g1_i11	0	5	0	1	sp	Q5HZH7	S38A8_MOUSE	25.9	386	248	11	285	1418	31	386	2.1e-21	106.7	S38A8_MOUSE	reviewed	Putative sodium-coupled neutral amino acid transporter 8 (Solute carrier family 38 member 8)	Slc38a8 Gm587	Mus musculus (Mouse)	432	amino acid transmembrane transport [GO:0003333]; sodium ion transport [GO:0006814]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]; sodium ion transport [GO:0006814]	amino acid transmembrane transporter activity [GO:0015171]	GO:0003333; GO:0006814; GO:0015171; GO:0016021
TRINITY_DN90_c2_g1_i15	0	0	4	3	sp	Q5ZK47	STRAA_CHICK	39.7	343	194	4	1267	2259	1	342	5.6e-60	234.2	STRAA_CHICK	reviewed	STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein)	STRADA STRAD RCJMB04_13d22	Gallus gallus (Chicken)	389	activation of protein kinase activity [GO:0032147]; cell cycle [GO:0007049]; protein export from nucleus [GO:0006611]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein kinase activator activity [GO:0030295]; protein serine/threonine kinase activity [GO:0004674]; activation of protein kinase activity [GO:0032147]; cell cycle [GO:0007049]; protein export from nucleus [GO:0006611]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]	ATP binding [GO:0005524]; protein kinase activator activity [GO:0030295]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006611; GO:0007049; GO:0007346; GO:0023014; GO:0030295; GO:0031098; GO:0032147
TRINITY_DN2394_c1_g1_i9	39	8	0	2	sp	Q8LC68	NRP2_ARATH	23.9	222	147	5	52	663	9	226	7.9e-18	93.2	NRP2_ARATH	reviewed	NAP1-related protein 2 (Nucleosome/chromatin assembly factor group A5) (Protein SET homolog 2)	NRP2 NFA5 At1g18800 F6A14.10	Arabidopsis thaliana (Mouse-ear cress)	255	double-strand break repair via homologous recombination [GO:0000724]; nucleosome assembly [GO:0006334]; somatic cell DNA recombination [GO:0016444]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; histone binding [GO:0042393]; double-strand break repair via homologous recombination [GO:0000724]; nucleosome assembly [GO:0006334]; somatic cell DNA recombination [GO:0016444]	chromatin binding [GO:0003682]; histone binding [GO:0042393]	GO:0000724; GO:0003682; GO:0005634; GO:0005737; GO:0005829; GO:0006334; GO:0016444; GO:0042393
TRINITY_DN16543_c0_g1_i4	0	2	0	1	sp	Q55578	Y361_SYNY3	33.9	242	130	7	37	714	5	232	4.3e-19	97.1	Y361_SYNY3	reviewed	Uncharacterized RNA pseudouridine synthase slr0361 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	slr0361	Synechocystis sp. (strain PCC 6803 / Kazusa)	249	pseudouridine synthesis [GO:0001522]		pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; pseudouridine synthesis [GO:0001522]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]	GO:0001522; GO:0003723; GO:0009982
TRINITY_DN6978_c0_g1_i25	0	6	0	1	sp	P43508	CPR4_CAEEL	34.3	289	149	11	140	943	67	335	7.3e-37	158.3	CPR4_CAEEL	reviewed	Cathepsin B-like cysteine proteinase 4 (EC 3.4.22.-) (Cysteine protease-related 4)	cpr-4 F44C4.3	Caenorhabditis elegans	335	cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; proteolysis involved in cellular protein catabolic process [GO:0051603]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; cellular response to gamma radiation [GO:0071480]; cellular response to UV [GO:0034644]; proteolysis involved in cellular protein catabolic process [GO:0051603]	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197; GO:0005576; GO:0005615; GO:0005764; GO:0034644; GO:0051603; GO:0071480
TRINITY_DN17286_c0_g1_i2	14	36	0	1	sp	P70700	RPA2_MOUSE	45.6	1142	603	10	168	3581	5	1132	6.6e-291	1001.9	RPA2_MOUSE	reviewed	DNA-directed RNA polymerase I subunit RPA2 (RNA polymerase I subunit 2) (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (RPA135)	Polr1b Rpa2 Rpo1-2	Mus musculus (Mouse)	1135	embryo implantation [GO:0007566]; nucleologenesis [GO:0017126]; rRNA transcription [GO:0009303]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; ribonucleoside binding [GO:0032549]; embryo implantation [GO:0007566]; nucleologenesis [GO:0017126]; rRNA transcription [GO:0009303]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; ribonucleoside binding [GO:0032549]	GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005730; GO:0005736; GO:0005829; GO:0007566; GO:0009303; GO:0017126; GO:0032549; GO:0046872
TRINITY_DN8304_c0_g1_i2	4	5	1	1	sp	O01504	RLA2_CAEEL	57.8	64	27	0	104	295	1	64	1.4e-12	74.7	RLA2_CAEEL	reviewed	60S acidic ribosomal protein P2	C37A2.7	Caenorhabditis elegans	107	translational elongation [GO:0006414]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006414
TRINITY_DN6754_c0_g1_i2	3	4	1	1	sp	Q8R3Q2	PP6R2_MOUSE	21.3	470	289	13	210	1562	20	427	1.5e-18	96.7	PP6R2_MOUSE	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)	Ppp6r2 Kiaa0685 Pp6r2 Saps2	Mus musculus (Mouse)	923	regulation of phosphoprotein phosphatase activity [GO:0043666]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; protein phosphatase binding [GO:0019903]; protein phosphatase regulator activity [GO:0019888]; regulation of phosphoprotein phosphatase activity [GO:0043666]	protein phosphatase binding [GO:0019903]; protein phosphatase regulator activity [GO:0019888]	GO:0005634; GO:0005829; GO:0019888; GO:0019903; GO:0043231; GO:0043666
TRINITY_DN8012_c0_g1_i2	34	0	17	4	sp	Q8NFA0	UBP32_HUMAN	42.1	1739	784	26	109	5070	1	1601	0	1304.7	UBP32_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	USP32 USP10	Homo sapiens (Human)	1604	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	calcium ion binding [GO:0005509]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]	GO:0004843; GO:0005509; GO:0005794; GO:0005829; GO:0006511; GO:0016020; GO:0016579
TRINITY_DN27659_c0_g1_i1	9	1	0	2	sp	P27484	GRP2_NICSY	56.6	76	32	1	72	299	8	82	3.4e-15	83.6	GRP2_NICSY	reviewed	Glycine-rich protein 2	GRP-2	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	214			RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0003723; GO:0008270
