Trinity_ID	380822	380823	380824	380825	cluster	swissprot	uniprot_acc_ID	gene_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry.name	Status	Protein.names	Gene.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN6902_c0_g1_i18	0	0	55	119	3	sp	B4N0P7	KRR1_DROWI	59.5	274	111	0	145	966	4	277	1.7e-93	346.3	KRR1_DROWI	reviewed	KRR1 small subunit processome component homolog (KRR-R motif-containing protein 1) (Protein dribble)	dbe dribble GK24616	Drosophila willistoni (Fruit fly)	347	multicellular organism development [GO:0007275]; rRNA processing [GO:0006364]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; RNA binding [GO:0003723]; multicellular organism development [GO:0007275]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]	GO:0003723; GO:0005654; GO:0005730; GO:0006364; GO:0007275; GO:1990904
TRINITY_DN4235_c1_g1_i1	989	617	63	27	2	sp	P21522	ROA1_SCHAM	68.7	182	56	1	186	731	8	188	2.9e-69	265	ROA1_SCHAM	reviewed	Heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog	HNRNP	Schistocerca americana (American grasshopper)	342		nucleus [GO:0005634]	nucleus [GO:0005634]; mRNA binding [GO:0003729]	mRNA binding [GO:0003729]	GO:0003729; GO:0005634
TRINITY_DN11178_c0_g1_i1	0	0	215	95	1	sp	A9X4T1	CHD1_BOMMO	60	1308	446	18	1321	5148	2	1264	0	1322.8	CHD1_BOMMO	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	Bombyx mori (Silk moth)	1365	chromatin organization [GO:0006325]	chromosome [GO:0005694]; nucleus [GO:0005634]	chromosome [GO:0005694]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; chromatin organization [GO:0006325]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0005694; GO:0006325
TRINITY_DN1308_c4_g1_i22	69	4	205	613	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1736_c1_g1_i5	123	22	0	0	2	sp	O97159	CHDM_DROME	67.4	1523	383	16	212	4666	370	1817	0	1673.3	CHDM_DROME	reviewed	Chromodomain-helicase-DNA-binding protein Mi-2 homolog (EC 3.6.4.12) (ATP-dependent helicase Mi-2) (dMi-2)	Mi-2 CG8103	Drosophila melanogaster (Fruit fly)	1982	ATP-dependent chromatin remodeling [GO:0043044]; chromosome condensation [GO:0030261]; chromosome decondensation [GO:0051312]; chromosome organization [GO:0051276]; negative regulation of cohesin loading [GO:0071923]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleosome mobilization [GO:0042766]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]	cytosol [GO:0005829]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; polytene chromosome [GO:0005700]; transcriptionally active chromatin [GO:0035327]	cytosol [GO:0005829]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; polytene chromosome [GO:0005700]; transcriptionally active chromatin [GO:0035327]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; zinc ion binding [GO:0008270]; ATP-dependent chromatin remodeling [GO:0043044]; chromosome condensation [GO:0030261]; chromosome decondensation [GO:0051312]; chromosome organization [GO:0051276]; negative regulation of cohesin loading [GO:0071923]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleosome mobilization [GO:0042766]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; zinc ion binding [GO:0008270]	GO:0000122; GO:0003677; GO:0003678; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005700; GO:0005829; GO:0006357; GO:0007283; GO:0008270; GO:0016581; GO:0016887; GO:0030261; GO:0031491; GO:0035327; GO:0042766; GO:0043044; GO:0045892; GO:0051276; GO:0051312; GO:0070615; GO:0071923
TRINITY_DN4897_c0_g1_i16	0	0	163	30	1	sp	A2AWA9	RBGP1_MOUSE	48.3	982	463	15	526	3426	106	1057	4.3e-227	790	RBGP1_MOUSE	reviewed	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	Rabgap1 Kiaa4104	Mus musculus (Mouse)	1064	activation of GTPase activity [GO:0090630]; cell cycle [GO:0007049]; intracellular protein transport [GO:0006886]; regulation of GTPase activity [GO:0043087]	cytosol [GO:0005829]; microtubule organizing center [GO:0005815]	cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; cell cycle [GO:0007049]; intracellular protein transport [GO:0006886]; regulation of GTPase activity [GO:0043087]	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]	GO:0005096; GO:0005815; GO:0005829; GO:0006886; GO:0007049; GO:0017137; GO:0043087; GO:0090630
TRINITY_DN186_c2_g1_i12	93	348	0	5	4	sp	P54385	DHE3_DROME	75.3	543	119	2	142	1731	22	562	8.2e-246	851.3	DHE3_DROME	reviewed	Glutamate dehydrogenase, mitochondrial (GDH) (EC 1.4.1.3)	Gdh Glud CG5320	Drosophila melanogaster (Fruit fly)	562	glutamate catabolic process [GO:0006538]; glutamate catabolic process to 2-oxoglutarate [GO:0019551]; glutamate metabolic process [GO:0006536]; NADH oxidation [GO:0006116]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate dehydrogenase [NAD(P)+] activity [GO:0004353]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; glutamate catabolic process [GO:0006538]; glutamate catabolic process to 2-oxoglutarate [GO:0019551]; glutamate metabolic process [GO:0006536]; NADH oxidation [GO:0006116]	ATP binding [GO:0005524]; glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate dehydrogenase [NAD(P)+] activity [GO:0004353]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]	GO:0004352; GO:0004353; GO:0005524; GO:0005525; GO:0005737; GO:0005739; GO:0005759; GO:0005829; GO:0006116; GO:0006536; GO:0006538; GO:0019551; GO:0042802
TRINITY_DN4655_c0_g1_i16	13	226	442	1027	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN32526_c0_g1_i15	0	0	48	223	3	sp	P51023	PNT_DROME	81.7	115	15	1	1683	2027	590	698	3.5e-49	198	PNT_DROME	reviewed	ETS-like protein pointed	pnt DMPOINT1A ETS2 Ets58AB pointed CG17077	Drosophila melanogaster (Fruit fly)	718	cell dedifferentiation [GO:0043697]; cell differentiation [GO:0030154]; compound eye photoreceptor cell differentiation [GO:0001751]; determination of adult lifespan [GO:0008340]; determination of genital disc primordium [GO:0035225]; epidermal growth factor receptor signaling pathway [GO:0007173]; epithelial cell migration, open tracheal system [GO:0007427]; epithelial cell proliferation involved in Malpighian tubule morphogenesis [GO:0061331]; eye-antennal disc morphogenesis [GO:0007455]; fibroblast growth factor receptor signaling pathway [GO:0008543]; imaginal disc-derived wing morphogenesis [GO:0007476]; leg disc proximal/distal pattern formation [GO:0007479]; lymph gland crystal cell differentiation [GO:0035170]; lymph gland plasmatocyte differentiation [GO:0035169]; muscle fiber development [GO:0048747]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of cardioblast cell fate specification [GO:0009997]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; oenocyte differentiation [GO:0001742]; ommatidial rotation [GO:0016318]; open tracheal system development [GO:0007424]; pericardial nephrocyte differentiation [GO:0061320]; photoreceptor cell development [GO:0042461]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primary branching, open tracheal system [GO:0007428]; R3/R4 cell fate commitment [GO:0007464]; R7 cell fate commitment [GO:0007465]; regulation of establishment of planar polarity [GO:0090175]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of neuron differentiation [GO:0045664]; regulation of transcription by RNA polymerase II [GO:0006357]; secondary branching, open tracheal system [GO:0007429]; sevenless signaling pathway [GO:0045500]; terminal cell fate specification, open tracheal system [GO:0035154]; trachea development [GO:0060438]; wing disc dorsal/ventral pattern formation [GO:0048190]	host cell nucleus [GO:0042025]; nucleus [GO:0005634]	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; cell dedifferentiation [GO:0043697]; cell differentiation [GO:0030154]; compound eye photoreceptor cell differentiation [GO:0001751]; determination of adult lifespan [GO:0008340]; determination of genital disc primordium [GO:0035225]; epidermal growth factor receptor signaling pathway [GO:0007173]; epithelial cell migration, open tracheal system [GO:0007427]; epithelial cell proliferation involved in Malpighian tubule morphogenesis [GO:0061331]; eye-antennal disc morphogenesis [GO:0007455]; fibroblast growth factor receptor signaling pathway [GO:0008543]; imaginal disc-derived wing morphogenesis [GO:0007476]; leg disc proximal/distal pattern formation [GO:0007479]; lymph gland crystal cell differentiation [GO:0035170]; lymph gland plasmatocyte differentiation [GO:0035169]; muscle fiber development [GO:0048747]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of cardioblast cell fate specification [GO:0009997]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; oenocyte differentiation [GO:0001742]; ommatidial rotation [GO:0016318]; open tracheal system development [GO:0007424]; pericardial nephrocyte differentiation [GO:0061320]; photoreceptor cell development [GO:0042461]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; primary branching, open tracheal system [GO:0007428]; R3/R4 cell fate commitment [GO:0007464]; R7 cell fate commitment [GO:0007465]; regulation of establishment of planar polarity [GO:0090175]; regulation of neuroblast proliferation [GO:1902692]; regulation of neurogenesis [GO:0050767]; regulation of neuron differentiation [GO:0045664]; regulation of transcription by RNA polymerase II [GO:0006357]; secondary branching, open tracheal system [GO:0007429]; sevenless signaling pathway [GO:0045500]; terminal cell fate specification, open tracheal system [GO:0035154]; trachea development [GO:0060438]; wing disc dorsal/ventral pattern formation [GO:0048190]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0000981; GO:0001228; GO:0001742; GO:0001751; GO:0005634; GO:0006357; GO:0007173; GO:0007424; GO:0007427; GO:0007428; GO:0007429; GO:0007455; GO:0007464; GO:0007465; GO:0007476; GO:0007479; GO:0008284; GO:0008340; GO:0008543; GO:0009997; GO:0010628; GO:0016318; GO:0030154; GO:0035154; GO:0035169; GO:0035170; GO:0035225; GO:0042025; GO:0042461; GO:0043433; GO:0043565; GO:0043697; GO:0045500; GO:0045664; GO:0045666; GO:0045893; GO:0045944; GO:0048190; GO:0048747; GO:0050767; GO:0060438; GO:0061320; GO:0061331; GO:0090175; GO:1902692; GO:2001234
TRINITY_DN4655_c0_g1_i15	2543	2083	1452	923	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
