Trinity_ID	178	359	463	cluster	V2.x	uniprot_acc_ID	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	V2.y	V3	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
TRINITY_DN1080_c1_g1_i4	99	56	0	2	sp	E1C1R4	UBP47_CHICK	43.4	369	191	7	448	1542	1011	1365	6.1e-82	307.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3138_c4_g1_i6	0	0	4	3	sp	Q23979	MY61F_DROME	55.8	1038	443	10	132	3230	9	1035	0	1113.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4115_c2_g1_i1	4606	2623	2	2	sp	Q9VTH4	SCLLA_DROME	33.7	104	65	2	822	1130	152	252	1.7e-07	58.9	SCLLA_DROME	reviewed	Protein scylla (Protein regulated in development and DNA damage response 2) (REDD-2)	scyl CG7590	Drosophila melanogaster (Fruit fly)	280	apoptotic process [GO:0006915]; cell death [GO:0008219]; cellular response to DNA damage stimulus [GO:0006974]; head involution [GO:0008258]; multicellular organism reproduction [GO:0032504]; negative regulation of growth [GO:0045926]; negative regulation of signal transduction [GO:0009968]; regulation of TOR signaling [GO:0032006]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; apoptotic process [GO:0006915]; cell death [GO:0008219]; cellular response to DNA damage stimulus [GO:0006974]; head involution [GO:0008258]; multicellular organism reproduction [GO:0032504]; negative regulation of growth [GO:0045926]; negative regulation of signal transduction [GO:0009968]; regulation of TOR signaling [GO:0032006]; response to oxidative stress [GO:0006979]	GO:0005737; GO:0006915; GO:0006974; GO:0006979; GO:0008219; GO:0008258; GO:0009968; GO:0032006; GO:0032504; GO:0045926
TRINITY_DN1838_c0_g1_i1	433	3908	11	1	sp	Q9VEN1	FLNA_DROME	60.7	2223	839	12	157	6771	4	2209	0	2819.6	FLNA_DROME	reviewed	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)	cher cheerio sko CG3937	Drosophila melanogaster (Fruit fly)	2210	behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; learning or memory [GO:0007611]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; olfactory learning [GO:0008355]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sleep [GO:0030431]	actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]	actin binding [GO:0003779]	actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; learning or memory [GO:0007611]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; olfactory learning [GO:0008355]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sleep [GO:0030431]	GO:0000278; GO:0003779; GO:0005829; GO:0005886; GO:0007301; GO:0007303; GO:0007611; GO:0007616; GO:0008045; GO:0008104; GO:0008302; GO:0008340; GO:0008355; GO:0015629; GO:0030431; GO:0030708; GO:0030725; GO:0035182; GO:0035183; GO:0035204; GO:0035324; GO:0045179; GO:0048149; GO:0051495
TRINITY_DN23_c1_g1_i10	107	261	0	1	sp	P35559	IDE_RAT	55	964	431	2	334	3225	52	1012	0	1102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1308_c4_g1_i22	0	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN22623_c0_g1_i10	66	95	56	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3644_c0_g1_i1	178	14	1	4	sp	P05547	TNNI_ASTLP	58.9	112	46	0	360	695	74	185	6.6e-28	126.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN43504_c0_g1_i5	3735	5378	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5477_c0_g1_i1	86	2	0	4	sp	P06708	TNNC2_ASTLP	87.3	150	19	0	196	645	1	150	2.2e-68	260.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12078_c3_g1_i7	144	6	0	4	sp	Q1RLK6	B3GN4_MOUSE	28.9	256	174	3	447	1193	90	344	8e-27	125.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1968_c0_g1_i1	1355	2830	3	1	sp	Q16822	PCKGM_HUMAN	68.6	609	188	2	277	2103	35	640	2.7e-263	909.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN428_c0_g1_i6	864	835	0	2	sp	Q9P2E3	ZNFX1_HUMAN	32.2	2019	1092	42	913	6855	131	1911	7.1e-206	720.3	ZNFX1_HUMAN	reviewed	NFX1-type zinc finger-containing protein 1	ZNFX1 KIAA1404	Homo sapiens (Human)	1918		nucleus [GO:0005634]	RNA binding [GO:0003723]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; RNA binding [GO:0003723]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003723; GO:0005634; GO:0008270
TRINITY_DN15422_c0_g1_i21	141	15	0	4	sp	Q92879	CELF1_HUMAN	56.2	525	170	12	920	2458	10	486	8.4e-100	367.9	CELF1_HUMAN	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	CELF1 BRUNOL2 CUGBP CUGBP1 NAB50	Homo sapiens (Human)	486	embryo development [GO:0009790]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	BRE binding [GO:0042835]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; translation repressor activity, nucleic acid binding [GO:0000900]	cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; BRE binding [GO:0042835]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; translation repressor activity, nucleic acid binding [GO:0000900]; embryo development [GO:0009790]; germ cell development [GO:0007281]; mRNA processing [GO:0006397]; mRNA splice site selection [GO:0006376]; regulation of RNA splicing [GO:0043484]; RNA interference [GO:0016246]	GO:0000900; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0006376; GO:0006397; GO:0007281; GO:0009790; GO:0016020; GO:0016246; GO:0030529; GO:0042835; GO:0043484
TRINITY_DN105280_c0_g1_i1	211	25	2	4	sp	P53777	MLP1_DROME	66.3	92	31	0	101	376	1	92	9.9e-31	136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9515_c0_g1_i5	30	3	0	4	sp	P30163	ACT2_ONCVO	93.1	376	26	0	44	1171	1	376	3.3e-208	725.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9515_c0_g1_i24	17	2	0	4	sp	P30163	ACT2_ONCVO	93.1	376	26	0	44	1171	1	376	5.2e-208	724.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN269_c2_g2_i2	448	547	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7420_c1_g1_i4	0	1	0	1	sp	Q9UPN3	MACF1_HUMAN	28.2	1954	1182	42	518	6055	74	1915	1e-201	706.8	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	Homo sapiens (Human)	7388	Golgi to plasma membrane protein transport [GO:0043001]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; ATPase activity [GO:0016887]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]; Golgi to plasma membrane protein transport [GO:0043001]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]	GO:0003723; GO:0003779; GO:0005509; GO:0005737; GO:0005794; GO:0005856; GO:0005874; GO:0005886; GO:0008017; GO:0010632; GO:0016055; GO:0016887; GO:0030177; GO:0032587; GO:0032886; GO:0042060; GO:0043001; GO:0045296; GO:0045773; GO:0051015; GO:0051893
TRINITY_DN1688_c1_g1_i2	218	47	107	4	sp	O15514	RPB4_HUMAN	73	141	36	1	378	800	4	142	6.4e-47	189.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10286_c0_g1_i1	200	433	0	1	sp	P17861	XBP1_HUMAN	66.7	57	18	1	422	589	48	104	2.6e-08	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12600_c0_g1_i2	14	81	0	1	sp	Q8VHC8	MA2B1_CAVPO	48.1	1023	465	21	304	3336	34	1002	1.7e-252	874.4	MA2B1_CAVPO	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	MAN2B1 MANB	Cavia porcellus (Guinea pig)	1007	mannose metabolic process [GO:0006013]	lysosome [GO:0005764]	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	lysosome [GO:0005764]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]	GO:0004559; GO:0005764; GO:0006013; GO:0030246; GO:0046872
TRINITY_DN60570_c0_g1_i6	1400	595	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN19145_c0_g1_i6	76	116	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1736_c1_g1_i23	469	9	0	4	sp	O97159	CHDM_DROME	66.9	1939	510	19	542	6196	121	1982	0	1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5929_c1_g1_i4	17	67	0	1	sp	Q9QX15	CA3A1_MOUSE	34.1	308	166	9	358	1218	24	315	1.4e-41	172.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2965_c1_g1_i12	374	4	0	4	sp	O97725	NDUAC_BOVIN	44.4	133	66	3	106	483	9	140	1.4e-26	121.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN774_c5_g1_i1	130	1	62	4	sp	P56079	CDS_DROME	63.8	425	144	3	158	1426	26	442	7.1e-156	553.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN19749_c0_g1_i28	24	3139	0	1	sp	Q8JHW2	TSP3A_DANRE	56.6	675	273	8	1503	3491	281	947	1.3e-188	662.5	TSP3A_DANRE	reviewed	Thrombospondin-3a (Thbs3a)	thbs3a thbs3 tsp3 zgc:103461	Danio rerio (Zebrafish) (Brachydanio rerio)	962	cell adhesion [GO:0007155]	extracellular region [GO:0005576]	calcium ion binding [GO:0005509]; heparin binding [GO:0008201]	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; heparin binding [GO:0008201]; cell adhesion [GO:0007155]	GO:0005509; GO:0005576; GO:0007155; GO:0008201
TRINITY_DN1091_c0_g1_i16	46	29	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2310_c0_g1_i2	1995	1156	39	2	sp	A1ZA47	ZASP_DROME	61.1	208	79	1	484	1101	1987	2194	4.6e-81	303.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN33269_c0_g1_i3	24	346	0	1	sp	Q9GKX6	GALM_PIG	45.8	354	178	8	294	1352	1	341	8e-83	310.1	GALM_PIG	reviewed	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)	GALM	Sus scrofa (Pig)	342	galactose catabolic process via UDP-galactose [GO:0033499]; glucose metabolic process [GO:0006006]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]	aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]; galactose catabolic process via UDP-galactose [GO:0033499]; glucose metabolic process [GO:0006006]	GO:0004034; GO:0005737; GO:0006006; GO:0030246; GO:0033499; GO:0070062
