Trinity_ID	178	359	463	cluster	swissprot	uniprot_acc_ID	gene_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN14760_c0_g1_i2	12	4	0	3	sp	Q28BT8	DUS3L_XENTR	41.6	563	250	12	268	1812	107	638	5.2e-112	406.8	DUS3L_XENTR	reviewed	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)	dus3l TNeu105e03.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	639			flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA dihydrouridine synthase activity [GO:0017150]	flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA dihydrouridine synthase activity [GO:0017150]	GO:0017150; GO:0046872; GO:0050660
TRINITY_DN12414_c1_g1_i4	0	3	0	2	sp	Q5XHF8	VIP2_XENLA	26.6	920	543	31	132	2738	58	896	1.8e-73	279.3	VIP2_XENLA	reviewed	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2)	ppip5k2 hisppd1 vip2	Xenopus laevis (African clawed frog)	1131	inositol metabolic process [GO:0006020]	cytosol [GO:0005829]	cytosol [GO:0005829]; 5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol metabolic process [GO:0006020]	5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]	GO:0000827; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0006020; GO:0033857; GO:0052723; GO:0052724; GO:0102092
TRINITY_DN205_c7_g1_i11	0	65	0	2	sp	Q9VLS1	KPBB_DROME	68.2	730	218	2	314	2503	36	751	8.3e-294	1011.9	KPBB_DROME	reviewed	Probable phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	CG8475	Drosophila melanogaster (Fruit fly)	1093	glycogen metabolic process [GO:0005977]	phosphorylase kinase complex [GO:0005964]; plasma membrane [GO:0005886]	phosphorylase kinase complex [GO:0005964]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; catalytic activity [GO:0003824]; glycogen metabolic process [GO:0005977]	calmodulin binding [GO:0005516]; catalytic activity [GO:0003824]	GO:0003824; GO:0005516; GO:0005886; GO:0005964; GO:0005977
TRINITY_DN18945_c0_g1_i1	22	3	0	3	sp	Q0VCK0	PUR9_BOVIN	49.5	596	286	7	133	1905	7	592	1.9e-152	541.2	PUR9_BOVIN	reviewed	Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (IMP synthase) (Inosinicase)]	ATIC PURH	Bos taurus (Bovine)	592	'de novo' IMP biosynthetic process [GO:0006189]; cellular response to interleukin-7 [GO:0098761]	cytosol [GO:0005829]; plasma membrane [GO:0005886]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; protein homodimerization activity [GO:0042803]; 'de novo' IMP biosynthetic process [GO:0006189]; cellular response to interleukin-7 [GO:0098761]	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; protein homodimerization activity [GO:0042803]	GO:0003937; GO:0004643; GO:0005829; GO:0005886; GO:0006189; GO:0042803; GO:0098761
TRINITY_DN225_c0_g1_i18	0	0	2	4	sp	Q9H361	PABP3_HUMAN	28.9	374	203	11	714	1757	71	407	1.2e-29	133.3	PABP3_HUMAN	reviewed	Polyadenylate-binding protein 3 (PABP-3) (Poly(A)-binding protein 3) (Testis-specific poly(A)-binding protein)	PABPC3 PABP3 PABPL3	Homo sapiens (Human)	631	mRNA metabolic process [GO:0016071]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; mRNA metabolic process [GO:0016071]	mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]	GO:0003723; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0008143; GO:0008266; GO:0010494; GO:0016071; GO:0070062; GO:1990904
TRINITY_DN16288_c0_g1_i16	0	7	0	2	sp	Q5ZDJ6	C3H8_ORYSJ	31.1	367	202	8	156	1163	102	448	4.8e-47	191	C3H8_ORYSJ	reviewed	Zinc finger CCCH domain-containing protein 8 (OsC3H8)	Os01g0616400 LOC_Os01g42970 P0686E09.13-1 P0686E09.13-2	Oryza sativa subsp. japonica (Rice)	462			DNA binding [GO:0003677]; metal ion binding [GO:0046872]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872
TRINITY_DN18468_c0_g1_i2	30	1	0	3	sp	O74835	RRP5_SCHPO	27.6	1917	1070	56	30	5531	5	1686	1.7e-123	446.4	RRP5_SCHPO	reviewed	rRNA biogenesis protein rrp5 (Ribosomal RNA-processing protein 5) (U3 small nucleolar RNA-associated protein rrp5) (U3 snoRNA-associated protein rrp5)	rrp5 SPCC1183.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1690	mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; rRNA primary transcript binding [GO:0042134]; snoRNA binding [GO:0030515]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]; rRNA primary transcript binding [GO:0042134]; snoRNA binding [GO:0030515]	GO:0003723; GO:0005730; GO:0006364; GO:0006397; GO:0030515; GO:0032040; GO:0042134
TRINITY_DN13034_c0_g1_i22	0	5	0	2	sp	Q38896	CSP4_ARATH	59	78	31	1	119	352	14	90	9.6e-16	85.9	CSP4_ARATH	reviewed	Cold shock domain-containing protein 4 (AtCSP4) (Glycine-rich protein 2b) (AtGRP2b)	CSP4 GRP2B At2g21060 F26H11.18	Arabidopsis thaliana (Mouse-ear cress)	201	embryo development ending in seed dormancy [GO:0009793]; fruit development [GO:0010154]; response to cold [GO:0009409]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]; embryo development ending in seed dormancy [GO:0009793]; fruit development [GO:0010154]; response to cold [GO:0009409]	DNA binding [GO:0003677]; mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]	GO:0003677; GO:0003729; GO:0005634; GO:0005730; GO:0005829; GO:0008270; GO:0009409; GO:0009793; GO:0010154
TRINITY_DN2751_c1_g2_i5	19	10	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1670_c0_g1_i24	1041	357	0	3	sp	Q6PJP8	DCR1A_HUMAN	46.2	342	181	2	2201	3226	696	1034	2.4e-85	318.9	DCR1A_HUMAN	reviewed	DNA cross-link repair 1A protein (SNM1 homolog A) (hSNM1) (hSNM1A)	DCLRE1A KIAA0086 SNM1 SNM1A	Homo sapiens (Human)	1040	cell cycle [GO:0007049]; cell division [GO:0051301]; double-strand break repair via nonhomologous end joining [GO:0006303]; interstrand cross-link repair [GO:0036297]; protection from non-homologous end joining at telomere [GO:0031848]	fibrillar center [GO:0001650]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]	fibrillar center [GO:0001650]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; 5'-3' exodeoxyribonuclease activity [GO:0035312]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; cell cycle [GO:0007049]; cell division [GO:0051301]; double-strand break repair via nonhomologous end joining [GO:0006303]; interstrand cross-link repair [GO:0036297]; protection from non-homologous end joining at telomere [GO:0031848]	5'-3' exodeoxyribonuclease activity [GO:0035312]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]	GO:0000784; GO:0001650; GO:0003684; GO:0005654; GO:0006303; GO:0007049; GO:0031848; GO:0035312; GO:0036297; GO:0046872; GO:0051301
TRINITY_DN117103_c0_g1_i1	22	1	0	3	sp	P0CQ45	REXO4_CRYNB	44.5	200	105	3	170	757	133	330	2.8e-35	150.6	REXO4_CRYNB	reviewed	RNA exonuclease 4 (EC 3.1.-.-)	REX4 CNBC1480	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)	408	rRNA processing [GO:0006364]	nucleus [GO:0005634]	nucleus [GO:0005634]; 3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]; rRNA processing [GO:0006364]	3'-5' exonuclease activity [GO:0008408]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0005634; GO:0006364; GO:0008408
TRINITY_DN1883_c0_g1_i30	11	2	0	3	sp	P18562	UPP_YEAST	49.2	199	95	4	88	681	21	214	4e-48	193.7	UPP_YEAST	reviewed	Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)	FUR1 YHR128W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216	nucleoside metabolic process [GO:0009116]; pyrimidine-containing compound salvage [GO:0008655]; UMP salvage [GO:0044206]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; pyrimidine-containing compound salvage [GO:0008655]; UMP salvage [GO:0044206]	GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]	GO:0004845; GO:0005525; GO:0005737; GO:0008655; GO:0009116; GO:0044206
TRINITY_DN2160_c2_g2_i14	53	116	3	1	sp	P20042	IF2B_HUMAN	74	181	45	1	401	943	155	333	2.2e-74	282	IF2B_HUMAN	reviewed	Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta)	EIF2S2 EIF2B	Homo sapiens (Human)	333	formation of cytoplasmic translation initiation complex [GO:0001732]; formation of translation preinitiation complex [GO:0001731]; in utero embryonic development [GO:0001701]; male germ cell proliferation [GO:0002176]; male gonad development [GO:0008584]; translational initiation [GO:0006413]; transmembrane transport [GO:0055085]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2 complex [GO:0005850]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2 complex [GO:0005850]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]; formation of cytoplasmic translation initiation complex [GO:0001732]; formation of translation preinitiation complex [GO:0001731]; in utero embryonic development [GO:0001701]; male germ cell proliferation [GO:0002176]; male gonad development [GO:0008584]; translational initiation [GO:0006413]; transmembrane transport [GO:0055085]	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]	GO:0001701; GO:0001731; GO:0001732; GO:0002176; GO:0003723; GO:0003729; GO:0003743; GO:0005737; GO:0005829; GO:0005850; GO:0006413; GO:0008135; GO:0008584; GO:0031369; GO:0046872; GO:0055085
TRINITY_DN108285_c0_g1_i1	14	47	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN13529_c0_g1_i2	0	8	0	2	sp	Q9FMU6	MPCP3_ARATH	43.4	297	152	6	54	941	77	358	5.9e-58	226.1	MPCP3_ARATH	reviewed	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)	MPT3 AT5 PHT3;1 At5g14040 MUA22_4	Arabidopsis thaliana (Mouse-ear cress)	375	phosphate ion transmembrane transport [GO:0035435]; response to salt stress [GO:0009651]	cell wall [GO:0005618]; integral component of mitochondrial inner membrane [GO:0031305]; mitochondrion [GO:0005739]; vacuolar membrane [GO:0005774]	cell wall [GO:0005618]; integral component of mitochondrial inner membrane [GO:0031305]; mitochondrion [GO:0005739]; vacuolar membrane [GO:0005774]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transmembrane transport [GO:0035435]; response to salt stress [GO:0009651]	inorganic phosphate transmembrane transporter activity [GO:0005315]	GO:0005315; GO:0005618; GO:0005739; GO:0005774; GO:0009651; GO:0031305; GO:0035435
TRINITY_DN15481_c0_g1_i1	14	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2470_c0_g1_i1	296	305	0	1	sp	B1A4F7	VDDP4_VESVU	36	786	474	13	1850	4186	8	771	1.6e-137	492.7	VDDP4_VESVU	reviewed	Venom dipeptidyl peptidase 4 (EC 3.4.14.5) (Venom dipeptidyl peptidase IV) (allergen Ves v 3)		Vespula vulgaris (Yellow jacket) (Wasp)	776		extracellular region [GO:0005576]	extracellular region [GO:0005576]; aminopeptidase activity [GO:0004177]; serine-type peptidase activity [GO:0008236]	aminopeptidase activity [GO:0004177]; serine-type peptidase activity [GO:0008236]	GO:0004177; GO:0005576; GO:0008236
