yourlist:M20200825A94466D2655679D1FD8953E075198DA8554439Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9I7U4	Q9I7U4	TITIN_DROME	reviewed	Titin (D-Titin) (Kettin)	sls titin CG1915	Drosophila melanogaster (Fruit fly)	18141
Q7L2R6	Q7L2R6	ZN765_HUMAN	reviewed	Zinc finger protein 765	ZNF765	Homo sapiens (Human)	523
Q6IV72	Q6IV72	ZN425_HUMAN	reviewed	Zinc finger protein 425	ZNF425	Homo sapiens (Human)	752
A1ZAX0	A1ZAX0	CCH1R_DROME	reviewed	Neuropeptide CCHamide-1 receptor	CCHa1-R CG30106	Drosophila melanogaster (Fruit fly)	499
Q8IWZ3	Q8IWZ3	ANKH1_HUMAN	reviewed	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)	ANKHD1 KIAA1085 MASK VBARP PP2500	Homo sapiens (Human)	2542
P31695	P31695	NOTC4_MOUSE	reviewed	Neurogenic locus notch homolog protein 4 (Notch 4) [Cleaved into: Transforming protein Int-3; Notch 4 extracellular truncation; Notch 4 intracellular domain]	Notch4 Int-3 Int3	Mus musculus (Mouse)	1964
Q99466	Q99466	NOTC4_HUMAN	reviewed	Neurogenic locus notch homolog protein 4 (Notch 4) (hNotch4) [Cleaved into: Notch 4 extracellular truncation; Notch 4 intracellular domain]	NOTCH4 INT3	Homo sapiens (Human)	2003
P13051	P13051	UNG_HUMAN	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	UNG DGU UNG1 UNG15	Homo sapiens (Human)	313
P12617	P12617	DCMC_ANSAN	reviewed	Malonyl-CoA decarboxylase, mitochondrial (MCD) (EC 4.1.1.9)	MLYCD	Anser anser anser (Western greylag goose)	504
O61307	O61307	TENM_DROME	reviewed	Teneurin-m (Tenm) (Odd Oz protein) (Tenascin-like protein)	Ten-m odz CG5723	Drosophila melanogaster (Fruit fly)	2731
Q90693	Q90693	PTC1_CHICK	reviewed	Protein patched homolog 1 (PTC) (PTC1)	PTCH1 PTC PTCH	Gallus gallus (Chicken)	1442
F4IUE7	F4IUE7	COV1_ARATH	reviewed	Protein CONTINUOUS VASCULAR RING 1	COV1 At2g20120 T2G17.8	Arabidopsis thaliana (Mouse-ear cress)	268
Q9NPI9	Q9NPI9	KCJ16_HUMAN	reviewed	Inward rectifier potassium channel 16 (Inward rectifier K(+) channel Kir5.1) (Potassium channel, inwardly rectifying subfamily J member 16)	KCNJ16	Homo sapiens (Human)	418
Q9HCU4	Q9HCU4	CELR2_HUMAN	reviewed	Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3)	CELSR2 CDHF10 EGFL2 KIAA0279 MEGF3	Homo sapiens (Human)	2923
Q969T9	Q969T9	WBP2_HUMAN	reviewed	WW domain-binding protein 2 (WBP-2)	WBP2	Homo sapiens (Human)	261
Q99323	Q99323	MYSN_DROME	reviewed	Myosin heavy chain, non-muscle (Myosin II) (Non-muscle MHC) (Zipper protein)	zip CG15792	Drosophila melanogaster (Fruit fly)	2057
O93209	O93209	POL_FFV	reviewed	Pro-Pol polyprotein (Pr125Pol) [Cleaved into: Protease/Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (EC 3.4.23.-) (p87Pro-RT-RNaseH); Protease/Reverse transcriptase (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.4.23.-) (p65Pro-RT); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (p42In)]	pol	Feline foamy virus (FFV) (Feline syncytial virus)	1156
P10090	P10090	WHITE_DROME	reviewed	Protein white	w CG2759	Drosophila melanogaster (Fruit fly)	687
O95671	O95671	ASML_HUMAN	reviewed	Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Includes: dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase); N-acetylserotonin O-methyltransferase-like protein (ASMTL) (EC 2.1.1.-)]	ASMTL	Homo sapiens (Human)	621
Q9JHA8	Q9JHA8	VWA7_MOUSE	reviewed	von Willebrand factor A domain-containing protein 7 (Protein G7c)	Vwa7 D17h6s56e-3 G7c	Mus musculus (Mouse)	891
Q8A294	Q8A294	HPPA_BACTN	reviewed	Putative K(+)-stimulated pyrophosphate-energized sodium pump (EC 7.2.3.-) (Membrane-bound sodium-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (Na(+)-PPase)	hppA BT_3411	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	734
P19174	P19174	PLCG1_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	Homo sapiens (Human)	1290
Q9DC37	Q9DC37	MFSD1_MOUSE	reviewed	Major facilitator superfamily domain-containing protein 1	Mfsd1	Mus musculus (Mouse)	464
P91621	P91621	SIF1_DROME	reviewed	Protein still life, isoform SIF type 1	sif CG34418	Drosophila melanogaster (Fruit fly)	2072
Q3B7H2	Q3B7H2	TAM41_DANRE	reviewed	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial translocator assembly and maintenance protein 41 homolog) (TAM41)	tamm41 zgc:123195	Danio rerio (Zebrafish) (Brachydanio rerio)	338
Q8IU85	Q8IU85	KCC1D_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK)	CAMK1D CAMKID	Homo sapiens (Human)	385
Q0IH24	Q0IH24	SPEF1_XENLA	reviewed	Sperm flagellar protein 1	spef1 clamp	Xenopus laevis (African clawed frog)	229
Q499W2	Q499W2	SLD5_RAT	reviewed	DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]	Gins4 Sld5	Rattus norvegicus (Rat)	223
Q8K224	Q8K224	NAT10_MOUSE	reviewed	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)	Nat10 Kiaa1709	Mus musculus (Mouse)	1024
Q9W138	Q9W138	SAMTR_DROME	reviewed	S-adenosylmethionine sensor upstream of mTORC1 (dSamtor) (Probable methyltransferase BMT2 homolog) (EC 2.1.1.-)	Samtor CG3570	Drosophila melanogaster (Fruit fly)	302
Q3U2U7	Q3U2U7	MET17_MOUSE	reviewed	Methyltransferase-like protein 17, mitochondrial (EC 2.1.1.-)	Mettl17 D14Ertd209e	Mus musculus (Mouse)	461
Q9WTQ8	Q9WTQ8	TIM23_MOUSE	reviewed	Mitochondrial import inner membrane translocase subunit Tim23	Timm23 Tim23	Mus musculus (Mouse)	209
Q9GP16	Q9GP16	RL31_HELVI	reviewed	60S ribosomal protein L31	RpL31	Heliothis virescens (Tobacco budworm moth)	124
Q3T057	Q3T057	RL23_BOVIN	reviewed	60S ribosomal protein L23	RPL23	Bos taurus (Bovine)	140
Q9VLV5	Q9VLV5	RUXE_DROME	reviewed	Probable small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SmE CG18591	Drosophila melanogaster (Fruit fly)	94
O61598	O61598	RL37A_OSTOS	reviewed	60S ribosomal protein L37a	rpl-37a	Ostertagia ostertagi (Brown stomach worm) (Strongylus ostertagi)	91
P11017	P11017	GBB2_BOVIN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2)	GNB2	Bos taurus (Bovine)	340
Q9V4A7	Q9V4A7	PLXB_DROME	reviewed	Plexin-B	PlexB CG17245	Drosophila melanogaster (Fruit fly)	2051
P49867	P49867	FTZF1_BOMMO	reviewed	Nuclear hormone receptor FTZ-F1 (BmFTZ-F1) (Nuclear receptor subfamily 5 group A member 3)	FTZ-F1 NR5A3	Bombyx mori (Silk moth)	534
Q9CZT4	Q9CZT4	RPC5_MOUSE	reviewed	DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit 5) (RNA polymerase III subunit C5) (Sex-lethal interactor homolog) (Sxl interactor)	Polr3e Sin	Mus musculus (Mouse)	710
Q8MUR4	Q8MUR4	RL13A_CHOPR	reviewed	60S ribosomal protein L13a	RpL13A	Choristoneura parallela (Spotted fireworm moth)	204
O75132	O75132	ZBED4_HUMAN	reviewed	Zinc finger BED domain-containing protein 4	ZBED4 KIAA0637	Homo sapiens (Human)	1171
O75096	O75096	LRP4_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	LRP4 KIAA0816 LRP10 MEGF7	Homo sapiens (Human)	1905
Q95V25	Q95V25	SLO1_CAEEL	reviewed	Calcium-activated potassium channel slo-1 (BK channel) (Maxi K channel) (MaxiK) (Slo homolog) (Slowpoke protein 1)	slo-1 Y51A2D.19	Caenorhabditis elegans	1140
Q8K2G4	Q8K2G4	BBS7_MOUSE	reviewed	Bardet-Biedl syndrome 7 protein homolog (BBS2-like protein 1)	Bbs7 Bbs2l1	Mus musculus (Mouse)	715
A3KMV2	A3KMV2	RD23A_BOVIN	reviewed	UV excision repair protein RAD23 homolog A	RAD23A	Bos taurus (Bovine)	362
P15620	P15620	ZN271_MOUSE	reviewed	Zinc finger protein 271 (Zinc finger protein 35) (Zfp-35)	Znf271 Zfp-35 Zfp35	Mus musculus (Mouse)	580
Q3UV71	Q3UV71	TMTC1_MOUSE	reviewed	Protein O-mannosyl-transferase TMTC1 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 1)	Tmtc1	Mus musculus (Mouse)	942
Q9W088	Q9W088	DPOD2_DROME	reviewed	DNA polymerase delta subunit 2 (Pol31 polymerase delta subunit)	Pol31 DNApolD1 CG12018	Drosophila melanogaster (Fruit fly)	431
P31696	P31696	AGRIN_CHICK	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Gallus gallus (Chicken)	2081
Q9V3A4	Q9V3A4	CSUP_DROME	reviewed	Protein catecholamines up	Catsup CG10449	Drosophila melanogaster (Fruit fly)	449
Q9Z1E9	Q9Z1E9	GSLG1_CRIGR	reviewed	Golgi apparatus protein 1 (E-selectin ligand 1) (ESL-1) (Golgi sialoglycoprotein MG-160) (Latent TGF-beta complexed protein 1) (LTCP-1)	GLG1 ESL1 MG160	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	1160
Q6Z358	Q6Z358	C3H49_ORYSJ	reviewed	Zinc finger CCCH domain-containing protein 49 (OsC3H49)	Os07g0281000 LOC_Os07g18050 OsJ_23846 P0557D09.17	Oryza sativa subsp. japonica (Rice)	486
P53653	P53653	SODM_THEAQ	reviewed	Superoxide dismutase [Mn] (EC 1.15.1.1)	sodA	Thermus aquaticus	204
Q9UHR6	Q9UHR6	ZNHI2_HUMAN	reviewed	Zinc finger HIT domain-containing protein 2 (Protein FON)	ZNHIT2 C11orf5	Homo sapiens (Human)	403
Q91WW7	Q91WW7	PLPL3_MOUSE	reviewed	1-acylglycerol-3-phosphate O-acyltransferase Pnpla3 (EC 2.3.1.51) (Acylglycerol transacylase) (Adiponutrin) (ADPN) (Calcium-independent phospholipase A2-epsilon) (iPLA2-epsilon) (Lysophosphatidic acid acyltransferase) (Patatin-like phospholipase domain-containing protein 3) (EC 3.1.1.3)	Pnpla3 Adpn	Mus musculus (Mouse)	413
Q39172	Q39172	AER_ARATH	reviewed	NADPH-dependent oxidoreductase 2-alkenal reductase (AtAER) (EC 1.3.1.-) (EC 1.3.1.74) (NADP-dependent alkenal double bond reductase P1) (DBR1) (NADPH-azodicarbonyl/quinone reductase) (NADPH:2-alkenal/one alpha,beta-hydrogenase) (ALH) (P1-zeta-crystallin protein) (P1-ZCr)	AER P1 At5g16970 F2K13_120	Arabidopsis thaliana (Mouse-ear cress)	345
Q3UF64	Q3UF64	RNFT2_MOUSE	reviewed	RING finger and transmembrane domain-containing protein 2 (Transmembrane protein 118)	Rnft2 Tmem118	Mus musculus (Mouse)	445
O76756	O76756	RS8_APIME	reviewed	40S ribosomal protein S8	RpS8	Apis mellifera (Honeybee)	208
P52879	P52879	RER1_CAEEL	reviewed	Protein RER1 homolog	rer-1 F46C5.8	Caenorhabditis elegans	191
P81235	P81235	YF1B_METJA	reviewed	Uncharacterized protein MJ1516.1	MJ1516.1	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	155
Q58842	Q58842	FAEHP_METJA	reviewed	Bifunctional enzyme Fae/Hps [Includes: 5,6,7,8-tetrahydromethanopterin hydro-lyase (EC 4.2.1.147) (Formaldehyde-activating enzyme) (Fae); 3-hexulose-6-phosphate synthase (HPS) (EC 4.1.2.43) (D-arabino-3-hexulose-6-phosphate formaldehyde lyase)]	fae-hps MJ1447	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	381
P13060	P13060	EF2_DROME	reviewed	Elongation factor 2 (EF-2)	EF2 Ef2b CG2238	Drosophila melanogaster (Fruit fly)	844
Q4KMP7	Q4KMP7	TB10B_HUMAN	reviewed	TBC1 domain family member 10B (Rab27A-GAP-beta)	TBC1D10B FP2461	Homo sapiens (Human)	808
Q7PVR3	Q7PVR3	EIF3H_ANOGA	reviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h)	AGAP009204	Anopheles gambiae (African malaria mosquito)	334
Q8SSH3	Q8SSH3	TCPD_ENCCU	reviewed	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta)	CCT4 ECU02_0520	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	484
P49815	P49815	TSC2_HUMAN	reviewed	Tuberin (Tuberous sclerosis 2 protein)	TSC2 TSC4	Homo sapiens (Human)	1807
Q58418	Q58418	PSTB_METJA	reviewed	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB MJ1012	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	252
Q91YN5	Q91YN5	UAP1_MOUSE	reviewed	UDP-N-acetylhexosamine pyrophosphorylase [Includes: UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83); UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23)]	Uap1	Mus musculus (Mouse)	522
Q10751	Q10751	ACE_CHICK	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (Fragment)	ACE DCP1	Gallus gallus (Chicken)	1193
P62297	P62297	ASPM_SHEEP	reviewed	Abnormal spindle-like microcephaly-associated protein homolog (Fragment)	ASPM	Ovis aries (Sheep)	3374
P62286	P62286	ASPM_CANLF	reviewed	Abnormal spindle-like microcephaly-associated protein homolog	ASPM	Canis lupus familiaris (Dog) (Canis familiaris)	3469
B0XDC4	B0XDC4	SPNE_CULQU	reviewed	Probable ATP-dependent RNA helicase spindle-E (EC 3.6.4.13)	spn-E CPIJ017541	Culex quinquefasciatus (Southern house mosquito) (Culex pungens)	1396
Q96MW7	Q96MW7	TIGD1_HUMAN	reviewed	Tigger transposable element-derived protein 1	TIGD1	Homo sapiens (Human)	591
Q99315	Q99315	YG31B_YEAST	reviewed	Transposon Ty3-G Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-1 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p61 (IN); Integrase p58 (IN)]	TY3B-G YGRWTy3-1 POL YGR109W-B G5984	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1547
Q6R2W3	Q6R2W3	SCND3_HUMAN	reviewed	SCAN domain-containing protein 3 (Transposon-derived Buster4 transposase-like protein) (Zinc finger BED domain-containing protein 9)	ZBED9 Buster4 KIAA1925 SCAND3 ZNF305P2 ZNF452	Homo sapiens (Human)	1325
A4Z943	A4Z943	ZBED5_BOVIN	reviewed	Zinc finger BED domain-containing protein 5 (Transposon-derived Buster1 transposase-like protein)	ZBED5	Bos taurus (Bovine)	694
P12370	P12370	KAPC1_DROME	reviewed	cAMP-dependent protein kinase catalytic subunit 1 (PKA C) (EC 2.7.11.11) (Protein kinase DC0)	Pka-C1 CdkA DC0 CG4379	Drosophila melanogaster (Fruit fly)	353
Q9D753	Q9D753	EXOS8_MOUSE	reviewed	Exosome complex component RRP43 (Exosome component 8) (Ribosomal RNA-processing protein 43)	Exosc8 Rrp43	Mus musculus (Mouse)	276
Q2KHU3	Q2KHU3	EXOS8_BOVIN	reviewed	Exosome complex component RRP43 (Exosome component 8) (Ribosomal RNA-processing protein 43)	EXOSC8	Bos taurus (Bovine)	276
Q712K3	Q712K3	UB2R2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 R2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R2) (Ubiquitin carrier protein R2) (Ubiquitin-conjugating enzyme E2-CDC34B) (Ubiquitin-protein ligase R2)	UBE2R2 CDC34B UBC3B	Homo sapiens (Human)	238
Q8TDW7	Q8TDW7	FAT3_HUMAN	reviewed	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)	FAT3 CDHF15 KIAA1989	Homo sapiens (Human)	4557
