Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (UniPathway)	Cross-reference (InterPro)	Cross-reference (PANTHER)
Q63054	ICA69_RAT	reviewed	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	Ica1	Rattus norvegicus (Rat)	480	neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transport [GO:0051049]	cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]	cytosol [GO:0005829]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; perinuclear region of cytoplasm [GO:0048471]; secretory granule membrane [GO:0030667]; synaptic vesicle membrane [GO:0030672]; membrane curvature sensor activity [GO:0140090]; protein domain specific binding [GO:0019904]; neurotransmitter transport [GO:0006836]; regulation of insulin secretion [GO:0050796]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transport [GO:0051049]	membrane curvature sensor activity [GO:0140090]; protein domain specific binding [GO:0019904]	GO:0000139; GO:0005794; GO:0005795; GO:0005829; GO:0006836; GO:0019904; GO:0030425; GO:0030667; GO:0030672; GO:0043254; GO:0048471; GO:0050796; GO:0051049; GO:0140090		IPR027267;IPR010504;IPR030796;IPR024114;IPR006723;	PTHR10164;PTHR10164:SF3;
Q4R502	IDHP_MACFA	reviewed	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH2 QnpA-13564	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	452	2-oxoglutarate metabolic process [GO:0006103]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; 2-oxoglutarate metabolic process [GO:0006103]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0004450; GO:0005739; GO:0006097; GO:0006099; GO:0006102; GO:0006103; GO:0051287		IPR019818;IPR004790;IPR024084;	PTHR11822;
P51610	HCFC1_HUMAN	reviewed	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	HCFC1 HCF1 HFC1	Homo sapiens (Human)	2035	blastocyst hatching [GO:0001835]; cell cycle [GO:0007049]; cellular response to organic cyclic compound [GO:0071407]; chromatin remodeling [GO:0006338]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; mitochondrion organization [GO:0007005]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell cycle [GO:0045787]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription, DNA-templated [GO:0045893]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transcription, DNA-templated [GO:0006355]; release from viral latency [GO:0019046]	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; histone acetyltransferase complex [GO:0000123]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; Set1C/COMPASS complex [GO:0048188]	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; histone acetyltransferase complex [GO:0000123]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; Set1C/COMPASS complex [GO:0048188]; activating transcription factor binding [GO:0033613]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; blastocyst hatching [GO:0001835]; cell cycle [GO:0007049]; cellular response to organic cyclic compound [GO:0071407]; chromatin remodeling [GO:0006338]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; mitochondrion organization [GO:0007005]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell cycle [GO:0045787]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription, DNA-templated [GO:0045893]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of protein-containing complex assembly [GO:0043254]; regulation of transcription, DNA-templated [GO:0006355]; release from viral latency [GO:0019046]	activating transcription factor binding [GO:0033613]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; identical protein binding [GO:0042802]; protein-macromolecule adaptor activity [GO:0030674]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]	GO:0000122; GO:0000123; GO:0000978; GO:0001835; GO:0003682; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0006338; GO:0006355; GO:0007005; GO:0007049; GO:0008134; GO:0010628; GO:0016020; GO:0016579; GO:0019046; GO:0030424; GO:0030425; GO:0030674; GO:0032991; GO:0033613; GO:0042802; GO:0043025; GO:0043254; GO:0043981; GO:0043982; GO:0043984; GO:0045296; GO:0045787; GO:0045893; GO:0048188; GO:0050821; GO:0071339; GO:0071407		IPR003961;IPR036116;IPR037854;IPR043536;IPR013783;IPR015915;IPR006652;	PTHR46003;PTHR46003:SF3;
Q96N67	DOCK7_HUMAN	reviewed	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140	activation of GTPase activity [GO:0090630]; axonogenesis [GO:0007409]; establishment of neuroblast polarity [GO:0045200]; interkinetic nuclear migration [GO:0022027]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of cold-induced thermogenesis [GO:0120163]; neuron projection development [GO:0031175]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of neurogenesis [GO:0050767]; small GTPase mediated signal transduction [GO:0007264]	axon [GO:0030424]; basal part of cell [GO:0045178]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; neuron projection [GO:0043005]	axon [GO:0030424]; basal part of cell [GO:0045178]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; neuron projection [GO:0043005]; guanyl-nucleotide exchange factor activity [GO:0005085]; Rac GTPase binding [GO:0048365]; activation of GTPase activity [GO:0090630]; axonogenesis [GO:0007409]; establishment of neuroblast polarity [GO:0045200]; interkinetic nuclear migration [GO:0022027]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of cold-induced thermogenesis [GO:0120163]; neuron projection development [GO:0031175]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; regulation of neurogenesis [GO:0050767]; small GTPase mediated signal transduction [GO:0007264]	guanyl-nucleotide exchange factor activity [GO:0005085]; Rac GTPase binding [GO:0048365]	GO:0000226; GO:0005085; GO:0005925; GO:0007264; GO:0007409; GO:0022027; GO:0030424; GO:0030426; GO:0031175; GO:0033138; GO:0043005; GO:0045178; GO:0045200; GO:0048365; GO:0050767; GO:0090630; GO:0120163; GO:1904754		IPR037808;IPR035892;IPR027007;IPR027357;IPR026791;IPR010703;IPR021816;IPR043161;IPR043162;	PTHR23317;
Q8IVV2	LOXH1_HUMAN	reviewed	Lipoxygenase homology domain-containing protein 1	LOXHD1	Homo sapiens (Human)	2067	sensory perception of sound [GO:0007605]	stereocilium [GO:0032420]	stereocilium [GO:0032420]; catalase activity [GO:0004096]; heme binding [GO:0020037]; sensory perception of sound [GO:0007605]	catalase activity [GO:0004096]; heme binding [GO:0020037]	GO:0004096; GO:0007605; GO:0020037; GO:0032420		IPR037060;IPR001024;IPR036392;	
A1Z713	VPS13_DROME	reviewed	Vacuolar protein sorting-associated protein 13	Vps13 CG2093	Drosophila melanogaster (Fruit fly)	3321	protein metabolic process [GO:0019538]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]	extrinsic component of membrane [GO:0019898]; late endosome membrane [GO:0031902]	extrinsic component of membrane [GO:0019898]; late endosome membrane [GO:0031902]; protein metabolic process [GO:0019538]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]		GO:0006623; GO:0019538; GO:0019898; GO:0031902; GO:0045053		IPR009543;IPR026847;IPR031645;IPR031642;IPR026854;IPR031646;	PTHR16166;
Q9QX15	CA3A1_MOUSE	reviewed	Calcium-activated chloride channel regulator 3A-1 (EC 3.4.-.-)	Clca3a1 Clca1	Mus musculus (Mouse)	902	chloride transport [GO:0006821]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; chloride transport [GO:0006821]	intracellular calcium activated chloride channel activity [GO:0005229]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	GO:0005229; GO:0005887; GO:0006821; GO:0008237; GO:0046872		IPR004727;IPR013642;IPR002035;IPR036465;	
P54359	SEPT2_DROME	reviewed	Septin-2	Sep2 CG4173	Drosophila melanogaster (Fruit fly)	419	cellularization [GO:0007349]; cellular protein localization [GO:0034613]; cytoskeleton-dependent cytokinesis [GO:0061640]; growth of a germarium-derived egg chamber [GO:0007295]; imaginal disc development [GO:0007444]; mitotic cytokinesis [GO:0000281]; regulation of cell cycle [GO:0051726]	cell division site [GO:0032153]; microtubule cytoskeleton [GO:0015630]; septin complex [GO:0031105]; septin ring [GO:0005940]; spindle [GO:0005819]	cell division site [GO:0032153]; microtubule cytoskeleton [GO:0015630]; septin complex [GO:0031105]; septin ring [GO:0005940]; spindle [GO:0005819]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; cellular protein localization [GO:0034613]; cellularization [GO:0007349]; cytoskeleton-dependent cytokinesis [GO:0061640]; growth of a germarium-derived egg chamber [GO:0007295]; imaginal disc development [GO:0007444]; mitotic cytokinesis [GO:0000281]; regulation of cell cycle [GO:0051726]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]	GO:0000281; GO:0003924; GO:0005525; GO:0005819; GO:0005940; GO:0007295; GO:0007349; GO:0007444; GO:0015630; GO:0031105; GO:0032153; GO:0034613; GO:0042803; GO:0051726; GO:0060090; GO:0061640		IPR030379;IPR027417;IPR016491;	
Q6PE18	P4K2A_DANRE	reviewed	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	pi4k2a pi4kii si:ch211-197k17.1	Danio rerio (Zebrafish) (Brachydanio rerio)	447	endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]	cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; host cell presynaptic membrane [GO:0044231]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]	1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]	GO:0004430; GO:0005524; GO:0005739; GO:0005768; GO:0005802; GO:0005886; GO:0005887; GO:0006661; GO:0007030; GO:0007032; GO:0030425; GO:0031224; GO:0031410; GO:0035651; GO:0035838; GO:0042734; GO:0043005; GO:0043025; GO:0043204; GO:0044231; GO:0045121; GO:0046854		IPR039756;IPR000403;	PTHR12865;
Q8IN94	OSA_DROME	reviewed	Trithorax group protein osa (Protein eyelid)	osa eld CG7467	Drosophila melanogaster (Fruit fly)	2716	ATP-dependent chromatin remodeling [GO:0043044]; imaginal disc-derived leg morphogenesis [GO:0007480]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein morphogenesis [GO:0008586]; negative regulation of neuroblast proliferation [GO:0007406]; neuroblast fate commitment [GO:0014017]; photoreceptor cell differentiation [GO:0046530]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; segment specification [GO:0007379]; wing disc dorsal/ventral pattern formation [GO:0048190]; Wnt signaling pathway [GO:0016055]	brahma complex [GO:0035060]; nBAF complex [GO:0071565]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; SWI/SNF complex [GO:0016514]	brahma complex [GO:0035060]; nBAF complex [GO:0071565]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; SWI/SNF complex [GO:0016514]; DNA binding [GO:0003677]; ATP-dependent chromatin remodeling [GO:0043044]; imaginal disc-derived leg morphogenesis [GO:0007480]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing morphogenesis [GO:0007476]; imaginal disc-derived wing vein morphogenesis [GO:0008586]; negative regulation of neuroblast proliferation [GO:0007406]; neuroblast fate commitment [GO:0014017]; photoreceptor cell differentiation [GO:0046530]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; segment specification [GO:0007379]; wing disc dorsal/ventral pattern formation [GO:0048190]; Wnt signaling pathway [GO:0016055]	DNA binding [GO:0003677]	GO:0003677; GO:0005634; GO:0005654; GO:0005700; GO:0006355; GO:0006357; GO:0007379; GO:0007406; GO:0007476; GO:0007480; GO:0008586; GO:0008587; GO:0014017; GO:0016055; GO:0016514; GO:0035060; GO:0043044; GO:0045893; GO:0046530; GO:0048190; GO:0071565		IPR001606;IPR036431;IPR016024;IPR021906;IPR033388;	PTHR12656;
Q9VEN1	FLNA_DROME	reviewed	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)	cher cheerio sko CG3937	Drosophila melanogaster (Fruit fly)	2210	behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sarcomere organization [GO:0045214]	actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]; Z disc [GO:0030018]	actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]; Z disc [GO:0030018]; actin binding [GO:0003779]; behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sarcomere organization [GO:0045214]	actin binding [GO:0003779]	GO:0000278; GO:0003779; GO:0005829; GO:0005886; GO:0007301; GO:0007303; GO:0007616; GO:0008045; GO:0008104; GO:0008302; GO:0008340; GO:0015629; GO:0030018; GO:0030708; GO:0030725; GO:0035182; GO:0035183; GO:0035204; GO:0035324; GO:0045179; GO:0045214; GO:0048149; GO:0051495		IPR001589;IPR001715;IPR036872;IPR017868;IPR001298;IPR013783;IPR014756;	
Q9VLQ1	ALG5_DROME	reviewed	Dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117) (Wollknaeuel)	wol alg5 CG7870	Drosophila melanogaster (Fruit fly)	326	chitin-based cuticle development [GO:0040003]; dorsal/ventral pattern formation [GO:0009953]; endoplasmic reticulum organization [GO:0007029]; gastrulation involving germ band extension [GO:0010004]; mesoderm migration involved in gastrulation [GO:0007509]; plasma membrane organization [GO:0007009]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; segment specification [GO:0007379]; septate junction assembly [GO:0019991]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]; chitin-based cuticle development [GO:0040003]; dorsal/ventral pattern formation [GO:0009953]; endoplasmic reticulum organization [GO:0007029]; gastrulation involving germ band extension [GO:0010004]; mesoderm migration involved in gastrulation [GO:0007509]; plasma membrane organization [GO:0007009]; protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]; segment specification [GO:0007379]; septate junction assembly [GO:0019991]	dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581]	GO:0004581; GO:0005783; GO:0005789; GO:0006487; GO:0006493; GO:0007009; GO:0007029; GO:0007379; GO:0007509; GO:0009953; GO:0010004; GO:0016021; GO:0019991; GO:0040003	UPA00378	IPR035518;IPR001173;IPR029044;	
Q8CGY8	OGT1_MOUSE	reviewed	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	Ogt	Mus musculus (Mouse)	1046	apoptotic process [GO:0006915]; cellular response to glucose stimulus [GO:0071333]; cellular response to lipopolysaccharide [GO:0071222]; circadian regulation of gene expression [GO:0032922]; glucosamine metabolic process [GO:0006041]; histone H3-K4 trimethylation [GO:0080182]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; intracellular distribution of mitochondria [GO:0048312]; negative regulation of cell death [GO:0060548]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein targeting to membrane [GO:0090315]; negative regulation of protein ubiquitination [GO:0031397]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of cell size [GO:0045793]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of gene expression [GO:0010628]; positive regulation of histone H3-K27 methylation [GO:0061087]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of proteolysis [GO:0045862]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein O-linked glycosylation [GO:0006493]; protein processing [GO:0016485]; regulation of gluconeogenesis [GO:0006111]; regulation of glycolytic process [GO:0006110]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of Rac protein signal transduction [GO:0035020]; regulation of transcription by RNA polymerase II [GO:0006357]; response to insulin [GO:0032868]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; euchromatin [GO:0000791]; histone acetyltransferase complex [GO:0000123]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; protein N-acetylglucosaminyltransferase complex [GO:0017122]; zymogen granule [GO:0042588]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; euchromatin [GO:0000791]; histone acetyltransferase complex [GO:0000123]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein N-acetylglucosaminyltransferase complex [GO:0017122]; protein-containing complex [GO:0032991]; zymogen granule [GO:0042588]; catalytic activity [GO:0003824]; histone acetyltransferase activity (H4-K16 specific) [GO:0046972]; histone acetyltransferase activity (H4-K5 specific) [GO:0043995]; histone acetyltransferase activity (H4-K8 specific) [GO:0043996]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; N-acetyltransferase activity [GO:0008080]; peptide binding [GO:0042277]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein domain specific binding [GO:0019904]; protein N-acetylglucosaminyltransferase activity [GO:0016262]; protein O-GlcNAc transferase activity [GO:0097363]; protein-containing complex binding [GO:0044877]; transcription factor binding [GO:0008134]; apoptotic process [GO:0006915]; cellular response to glucose stimulus [GO:0071333]; cellular response to lipopolysaccharide [GO:0071222]; circadian regulation of gene expression [GO:0032922]; glucosamine metabolic process [GO:0006041]; histone H3-K4 trimethylation [GO:0080182]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; intracellular distribution of mitochondria [GO:0048312]; negative regulation of cell death [GO:0060548]; negative regulation of cellular response to hypoxia [GO:1900038]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein targeting to membrane [GO:0090315]; negative regulation of protein ubiquitination [GO:0031397]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of cell size [GO:0045793]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of gene expression [GO:0010628]; positive regulation of histone H3-K27 methylation [GO:0061087]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of proteolysis [GO:0045862]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein O-linked glycosylation [GO:0006493]; protein processing [GO:0016485]; regulation of gluconeogenesis [GO:0006111]; regulation of glycolytic process [GO:0006110]; regulation of insulin receptor signaling pathway [GO:0046626]; regulation of Rac protein signal transduction [GO:0035020]; regulation of transcription by RNA polymerase II [GO:0006357]; response to insulin [GO:0032868]	catalytic activity [GO:0003824]; histone acetyltransferase activity (H4-K16 specific) [GO:0046972]; histone acetyltransferase activity (H4-K5 specific) [GO:0043995]; histone acetyltransferase activity (H4-K8 specific) [GO:0043996]; identical protein binding [GO:0042802]; monosaccharide binding [GO:0048029]; N-acetyltransferase activity [GO:0008080]; peptide binding [GO:0042277]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein-containing complex binding [GO:0044877]; protein domain specific binding [GO:0019904]; protein N-acetylglucosaminyltransferase activity [GO:0016262]; protein O-GlcNAc transferase activity [GO:0097363]; transcription factor binding [GO:0008134]	GO:0000123; GO:0000791; GO:0001933; GO:0001934; GO:0003824; GO:0005547; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006041; GO:0006110; GO:0006111; GO:0006357; GO:0006493; GO:0006915; GO:0008080; GO:0008134; GO:0010628; GO:0010801; GO:0016262; GO:0016485; GO:0017122; GO:0019904; GO:0031397; GO:0031966; GO:0032435; GO:0032868; GO:0032922; GO:0032991; GO:0033137; GO:0035020; GO:0042277; GO:0042588; GO:0042802; GO:0043005; GO:0043025; GO:0043981; GO:0043982; GO:0043984; GO:0043995; GO:0043996; GO:0044877; GO:0045793; GO:0045862; GO:0045944; GO:0046626; GO:0046972; GO:0048015; GO:0048029; GO:0048312; GO:0060548; GO:0061087; GO:0071222; GO:0071333; GO:0080182; GO:0090315; GO:0097363; GO:0120162; GO:1900038; GO:1900182; GO:1903428	UPA00378	IPR037919;IPR029489;IPR013026;IPR011990;IPR001440;IPR019734;	PTHR44366;
Q3SYV4	CAP1_BOVIN	reviewed	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1	Bos taurus (Bovine)	472	actin polymerization or depolymerization [GO:0008154]; cell morphogenesis [GO:0000902]; establishment or maintenance of cell polarity [GO:0007163]; regulation of adenylate cyclase activity [GO:0045761]	cortical actin cytoskeleton [GO:0030864]; plasma membrane [GO:0005886]	cortical actin cytoskeleton [GO:0030864]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]; actin polymerization or depolymerization [GO:0008154]; cell morphogenesis [GO:0000902]; establishment or maintenance of cell polarity [GO:0007163]; regulation of adenylate cyclase activity [GO:0045761]	actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]	GO:0000902; GO:0003779; GO:0005886; GO:0007163; GO:0008154; GO:0008179; GO:0030864; GO:0045761		IPR001837;IPR013912;IPR013992;IPR017901;IPR016098;IPR028415;IPR036223;IPR028417;IPR018106;IPR036222;IPR006599;	PTHR10652;PTHR10652:SF1;
